קטגוריה,מחלקה,בסיס מדידה,שורות,מכר כספי (מיליוני ₪),כיסוי %
מברשות שיניים,היגיינת הפה,יח' באריזה,12620,702.19,100.0
ערק + אניס,משקאות חריפים,ליטר,898,695.74,100.0
משקאות מוגזים טעמי פירות,משקאות לא אלכוהולים,ליטר,4911,683.58,100.0
דג מעושן כבוש ארוז,מזון מקורר ארוז,"ק""ג",5865,671.76,99.99
תה קר,משקאות לא אלכוהולים,ליטר,1754,667.13,100.0
יין לבן,יינות שולחניים,ליטר,5517,641.03,100.0
תבלינים במיכל,תבלינים,"ק""ג",16873,627.25,99.95
פתי בר,מאפים מתוקים ומלוחים,"ק""ג",3078,625.93,100.0
נתחים אחורי טרי,קצביה בשרית טרי,"ק""ג",3305,598.55,100.0
קטשופ,רטבים וממרחים,"ק""ג",957,595.13,100.0
שניצל  מן הצומח,מזון מוכן קפוא מן הצומח,"ק""ג",1615,591.69,100.0
מים מועשרים,משקאות לא אלכוהולים,ליטר,2446,578.19,100.0
סלט חומוס מועשר / תוספות,סלטים ארוזים,"ק""ג",2643,577.34,100.0
חטיפים אפויים,מאפים מתוקים ומלוחים,"ק""ג",5748,569.89,100.0
מרכך שיער,טיפוח השיער,ליטר,8036,569.07,100.0
